id,conversation_context,customer_message,gold_intent,gold_escalation,gold_reason,notes,review_status
gold_056,Customer contacted @AmazonHelp regarding return and refund status.,@AmazonHelp I was charged a 5 restocking fee on a return that was defective upon arrival.,return_and_refund_status,ESCALATE_TO_HUMAN,Disputed restocking fee on defective goods.,Fee dispute.,PROPOSED
gold_057,Customer contacted @AmazonHelp regarding return and refund status.,@AmazonHelp My return QR code expired because I got sick. How do I get a new one?,return_and_refund_status,AUTO_HANDLE,Instructions on reprinting/re-generating return QR code.,Self-service workflow.,PROPOSED
gold_058,Customer contacted @AmazonHelp regarding return and refund status.,@AmazonHelp Return center claims they received an empty box and denied my 00 refund.,return_and_refund_status,ESCALATE_TO_HUMAN,Warehouse denial / dispute of returned goods.,Severe dispute.,PROPOSED
gold_059,Customer contacted @AmazonHelp regarding return and refund status.,@AmazonHelp Will my refund go back to my gift card or my credit card?,return_and_refund_status,AUTO_HANDLE,Split payment refund distribution policy.,Financial policy.,PROPOSED
gold_060,Customer contacted @AmazonHelp regarding return and refund status.,"@AmazonHelp Returned two separate orders in the same box with one label, now only one refunded.",return_and_refund_status,ESCALATE_TO_HUMAN,Consolidated return mismatch requiring manual warehouse audit.,Warehouse audit.,PROPOSED
gold_061,Customer contacted @AmazonHelp regarding return and refund status.,@AmazonHelp Can I drop off an Amazon return at Whole Foods without printing anything?,return_and_refund_status,AUTO_HANDLE,Whole Foods QR return guidance.,Informational.,PROPOSED
gold_062,Customer contacted @AmazonHelp regarding return and refund status.,@AmazonHelp I initiated a return 30 days ago but forgot to drop it off. Is the label still valid?,return_and_refund_status,AUTO_HANDLE,Return label expiration policy.,Policy inquiry.,PROPOSED
gold_063,Customer contacted @AmazonHelp regarding return and refund status.,@AmazonHelp Bank says Amazon issued refund to an expired credit card account.,return_and_refund_status,ESCALATE_TO_HUMAN,Closed/expired bank account refund routing issue.,Banking routing.,PROPOSED
gold_064,Customer contacted @AmazonHelp regarding return and refund status.,@AmazonHelp Why is my return status showing 'Refund issued' but bank shows nothing after 8 business days?,return_and_refund_status,ESCALATE_TO_HUMAN,Refund clearance exceeding 5 business day bank window.,Banking delay.,PROPOSED
gold_065,Customer contacted @AmazonHelp regarding return and refund status.,@AmazonHelp Are opened personal care items like shampoo eligible for return?,return_and_refund_status,AUTO_HANDLE,Non-returnable item policy explanation.,Policy inquiry.,PROPOSED
gold_066,Customer contacted @AmazonHelp regarding return and refund status.,@AmazonHelp Item was delivered with hazardous materials label and return portal says cannot be returned.,return_and_refund_status,ESCALATE_TO_HUMAN,Hazmat return exemption requiring supervisor override/refund.,Hazmat policy.,PROPOSED
gold_067,Customer contacted @AmazonHelp regarding return and refund status.,@AmazonHelp How do I return a gift without the person who gave it knowing?,return_and_refund_status,AUTO_HANDLE,Gift return portal instructions.,Self-service flow.,PROPOSED
gold_068,Customer contacted @AmazonHelp regarding return and refund status.,"@AmazonHelp I dropped package at UPS drop box without scanning receipt, will I still get refunded?",return_and_refund_status,AUTO_HANDLE,Unscanned drop box processing timeline.,Standard guidance.,PROPOSED
gold_069,Customer contacted @AmazonHelp regarding return and refund status.,@AmazonHelp Amazon refunded me 0 less than what I paid on invoice #112-909281.,return_and_refund_status,ESCALATE_TO_HUMAN,Discrepancy in refund amount calculation.,Financial discrepancy.,PROPOSED
gold_070,Customer contacted @AmazonHelp regarding return and refund status.,@AmazonHelp Can I get an instant refund to Amazon gift card balance instead of waiting for bank?,return_and_refund_status,AUTO_HANDLE,Instant gift card refund option explanation.,Payment option.,PROPOSED
gold_071,Customer contacted @AmazonHelp regarding return and refund status.,"@AmazonHelp Return center received my return 10 days ago, status still says 'In transit'.",return_and_refund_status,ESCALATE_TO_HUMAN,Warehouse intake delay requiring manual investigation.,Warehouse intake.,PROPOSED
gold_072,Customer contacted @AmazonHelp regarding return and refund status.,@AmazonHelp Do third-party marketplace sellers have the same return policy as Amazon Prime?,return_and_refund_status,AUTO_HANDLE,Marketplace seller A-to-z return policy comparison.,Policy education.,PROPOSED
gold_073,Customer contacted @AmazonHelp regarding return and refund status.,@AmazonHelp Seller refused return on counterfeit item they sold me.,return_and_refund_status,ESCALATE_TO_HUMAN,A-to-z Guarantee claim escalation for counterfeit goods.,Counterfeit dispute.,PROPOSED
gold_074,Customer contacted @AmazonHelp regarding return and refund status.,@AmazonHelp How do I cancel a return request I made by mistake?,return_and_refund_status,AUTO_HANDLE,Return cancellation instructions.,Self-service cancel.,PROPOSED
gold_075,Customer contacted @AmazonHelp regarding return and refund status.,@AmazonHelp Return pickup by UPS was never scheduled by Amazon as promised.,return_and_refund_status,ESCALATE_TO_HUMAN,Carrier pickup failure requiring rebooking.,Operational failure.,PROPOSED
gold_076,Customer contacted @AmazonHelp regarding damaged or incorrect item.,"@AmazonHelp Glass bottle of olive oil broke inside box, soaked everything.",damaged_or_incorrect_item,AUTO_HANDLE,Standard damaged liquid protocol; direct to return/replace portal.,Damaged in transit.,PROPOSED
gold_077,Customer contacted @AmazonHelp regarding damaged or incorrect item.,"@AmazonHelp Ordered 128GB iPhone 15 Pro, box contained a brick wrapped in bubble wrap!",damaged_or_incorrect_item,ESCALATE_TO_HUMAN,Severe warehouse theft/tampering of high value electronics.,High fraud/theft risk.,PROPOSED
gold_078,Customer contacted @AmazonHelp regarding damaged or incorrect item.,@AmazonHelp Received green dress instead of blue dress. Can I exchange?,damaged_or_incorrect_item,AUTO_HANDLE,Standard color/size exchange flow.,Routine exchange.,PROPOSED
gold_079,Customer contacted @AmazonHelp regarding damaged or incorrect item.,@AmazonHelp Lithium battery in cordless drill started smoking and swelling upon opening.,damaged_or_incorrect_item,ESCALATE_TO_HUMAN,CRITICAL SAFETY HAZARD: Defective swollen battery.,Hazardous safety incident.,PROPOSED
gold_080,Customer contacted @AmazonHelp regarding damaged or incorrect item.,@AmazonHelp The box was torn and one out of three books was missing.,damaged_or_incorrect_item,AUTO_HANDLE,Partial shipment shortage return/replace flow.,Shortage replacement.,PROPOSED
gold_081,Customer contacted @AmazonHelp regarding damaged or incorrect item.,"@AmazonHelp Ordered brand new laptop, but screen has scratches and previous user account was logged in.",damaged_or_incorrect_item,ESCALATE_TO_HUMAN,Used sold as new on high value PC requiring investigation.,Used sold as new.,PROPOSED
gold_082,Customer contacted @AmazonHelp regarding damaged or incorrect item.,"@AmazonHelp Product box is dented, but item inside is completely intact and working.",damaged_or_incorrect_item,AUTO_HANDLE,Reassurance and return policy if customer still unsatisfied.,Cosmetic packaging.,PROPOSED
gold_083,Customer contacted @AmazonHelp regarding damaged or incorrect item.,"@AmazonHelp Baby formula can arrived with punctured seal, cannot feed to infant.",damaged_or_incorrect_item,ESCALATE_TO_HUMAN,Food/infant safety risk requiring immediate replacement and batch report.,Child safety / consumable.,PROPOSED
gold_084,Customer contacted @AmazonHelp regarding damaged or incorrect item.,@AmazonHelp Do I have to return an item that arrived completely shattered?,damaged_or_incorrect_item,AUTO_HANDLE,Broken glass return exemption guidance.,Safety guidance.,PROPOSED
gold_085,Customer contacted @AmazonHelp regarding damaged or incorrect item.,@AmazonHelp Counterfeit perfume received; smells completely fake and packaging misspelled.,damaged_or_incorrect_item,ESCALATE_TO_HUMAN,Counterfeit goods report and buyer protection escalation.,Counterfeit complaint.,PROPOSED
gold_086,Customer contacted @AmazonHelp regarding damaged or incorrect item.,@AmazonHelp Missing power adapter from vacuum cleaner box.,damaged_or_incorrect_item,AUTO_HANDLE,Missing part replacement or return guidance.,Missing accessory.,PROPOSED
gold_087,Customer contacted @AmazonHelp regarding damaged or incorrect item.,"@AmazonHelp Ordered right shoe size 10, but received one shoe size 9 and one shoe size 11.",damaged_or_incorrect_item,AUTO_HANDLE,Mismatched pair exchange guidance.,Warehouse error.,PROPOSED
gold_088,Customer contacted @AmazonHelp regarding damaged or incorrect item.,@AmazonHelp Delivered wrong item 3 times in a row for order #111-9281920! Incompetent!,damaged_or_incorrect_item,ESCALATE_TO_HUMAN,Repeated failure (3x) with high customer agitation.,Chronic failure.,PROPOSED
gold_089,Customer contacted @AmazonHelp regarding damaged or incorrect item.,@AmazonHelp How do I upload photos of a damaged item during the return process?,damaged_or_incorrect_item,AUTO_HANDLE,Photo upload return portal guidance.,App navigation.,PROPOSED
gold_090,Customer contacted @AmazonHelp regarding damaged or incorrect item.,@AmazonHelp Item expired 6 months ago according to printed expiration date on carton.,damaged_or_incorrect_item,AUTO_HANDLE,Expired grocery item instant replacement/refund flow.,Expired product.,PROPOSED
gold_091,Customer contacted @AmazonHelp regarding damaged or incorrect item.,@AmazonHelp TV arrived with cracked screen that only shows black lines when turned on.,damaged_or_incorrect_item,ESCALATE_TO_HUMAN,Large freight broken television requiring scheduled carrier pickup.,Freight item damage.,PROPOSED
gold_092,Customer contacted @AmazonHelp regarding damaged or incorrect item.,@AmazonHelp Is packaging recyclable for the paper padded mailers?,damaged_or_incorrect_item,AUTO_HANDLE,Packaging sustainability information.,General inquiry.,PROPOSED
gold_093,Customer contacted @AmazonHelp regarding damaged or incorrect item.,@AmazonHelp Missing assembly screws for bookshelf order #114-882910.,damaged_or_incorrect_item,AUTO_HANDLE,Hardware replacement options guidance.,Missing parts.,PROPOSED
gold_094,Customer contacted @AmazonHelp regarding damaged or incorrect item.,"@AmazonHelp Liquid bleach bottle burst in box, bleached my personal rug when I brought it inside.",damaged_or_incorrect_item,ESCALATE_TO_HUMAN,Property damage claim resulting from hazardous packaging failure.,Property damage liability.,PROPOSED
gold_095,Customer contacted @AmazonHelp regarding damaged or incorrect item.,@AmazonHelp Product received is 110V US plug but I live in UK and ordered from UK site.,damaged_or_incorrect_item,AUTO_HANDLE,Wrong regional variant exchange guidance.,Specification error.,PROPOSED
gold_096,Customer contacted @AmazonHelp regarding damaged or incorrect item.,@AmazonHelp Mattress arrived with black mold spots on the fabric inside sealed plastic.,damaged_or_incorrect_item,ESCALATE_TO_HUMAN,Health hazard contaminated item requiring disposal refund.,Health hazard.,PROPOSED
gold_097,Customer contacted @AmazonHelp regarding damaged or incorrect item.,@AmazonHelp Received order for someone else with their full name and address on packing slip.,damaged_or_incorrect_item,AUTO_HANDLE,Privacy and wrong parcel return instructions.,Privacy/wrong delivery.,PROPOSED
gold_098,Customer contacted @AmazonHelp regarding damaged or incorrect item.,@AmazonHelp Brand new camera lens has internal dust particles.,damaged_or_incorrect_item,ESCALATE_TO_HUMAN,High precision optics defect requiring authorized replacement.,Technical defect.,PROPOSED
gold_099,Customer contacted @AmazonHelp regarding damaged or incorrect item.,@AmazonHelp Can I keep the incorrect item if Amazon sends a replacement?,damaged_or_incorrect_item,AUTO_HANDLE,Incorrect item retention/return policy.,Policy inquiry.,PROPOSED
gold_100,Customer contacted @AmazonHelp regarding damaged or incorrect item.,@AmazonHelp Air fryer caught fire during first use according to manufacturer instructions.,damaged_or_incorrect_item,ESCALATE_TO_HUMAN,CRITICAL SAFETY INCIDENT: Product fire/hazard escalation.,Product safety liability.,PROPOSED
gold_101,Customer contacted @AmazonHelp regarding prime membership and billing.,@AmazonHelp How do I cancel my Amazon Prime free trial before it charges my credit card?,prime_membership_and_billing,AUTO_HANDLE,Prime free trial cancellation guidance.,Self-service cancel.,PROPOSED
gold_102,Customer contacted @AmazonHelp regarding prime membership and billing.,@AmazonHelp I was charged 39 annual fee twice on the same day for Prime.,prime_membership_and_billing,ESCALATE_TO_HUMAN,Duplicate annual billing error requiring finance reversal.,Duplicate charge.,PROPOSED
gold_103,Customer contacted @AmazonHelp regarding prime membership and billing.,@AmazonHelp Can I get a discount on Amazon Prime if I receive EBT or Medicaid?,prime_membership_and_billing,AUTO_HANDLE,Prime Access discounted membership eligibility information.,Discount program policy.,PROPOSED
gold_104,Customer contacted @AmazonHelp regarding prime membership and billing.,@AmazonHelp Unauthorized 4.99 charge from Prime Video Channels every month for 6 months!,prime_membership_and_billing,ESCALATE_TO_HUMAN,Long-term recurring unauthorized channel subscriptions dispute.,Recurring billing dispute.,PROPOSED
gold_105,Customer contacted @AmazonHelp regarding prime membership and billing.,@AmazonHelp Promo code FALL20 did not apply to qualifying items in my shopping cart.,prime_membership_and_billing,ESCALATE_TO_HUMAN,Promotional discount validation failure requiring manual credit.,Promo discount dispute.,PROPOSED
gold_106,Customer contacted @AmazonHelp regarding prime membership and billing.,@AmazonHelp How do I update the default credit card used for Prime membership renewals?,prime_membership_and_billing,AUTO_HANDLE,Wallet and Prime payment method update guidance.,Self-service billing.,PROPOSED
gold_107,Customer contacted @AmazonHelp regarding prime membership and billing.,@AmazonHelp Charged for Prime on a credit card that I removed from my wallet months ago.,prime_membership_and_billing,ESCALATE_TO_HUMAN,Backup payment method dispute on removed card.,Payment method dispute.,PROPOSED
gold_108,Customer contacted @AmazonHelp regarding prime membership and billing.,@AmazonHelp Does Prime membership include free Grubhub+ food delivery?,prime_membership_and_billing,AUTO_HANDLE,Prime partnership benefit explanation.,Benefit explanation.,PROPOSED
gold_109,Customer contacted @AmazonHelp regarding prime membership and billing.,@AmazonHelp I cancelled Prime yesterday but today I was charged 4.99.,prime_membership_and_billing,ESCALATE_TO_HUMAN,Billing charge after recorded cancellation date.,Post-cancellation billing.,PROPOSED
gold_110,Customer contacted @AmazonHelp regarding prime membership and billing.,@AmazonHelp Can college students keep the Prime Student rate after graduation?,prime_membership_and_billing,AUTO_HANDLE,Prime student duration and graduation policy.,Policy inquiry.,PROPOSED
gold_111,Customer contacted @AmazonHelp regarding prime membership and billing.,@AmazonHelp My bank charged an overdraft fee because Amazon attempted Prime charge 3 times.,prime_membership_and_billing,ESCALATE_TO_HUMAN,Consequential banking overdraft fee claim requiring supervisor review.,Consequential damages.,PROPOSED
gold_112,Customer contacted @AmazonHelp regarding prime membership and billing.,@AmazonHelp How do I pause my Prime membership instead of permanently cancelling it?,prime_membership_and_billing,AUTO_HANDLE,Prime pause membership feature instructions.,Self-service feature.,PROPOSED
