id,brand,conversation_id,customer_message,conversation_context,historical_response,intent,gold_escalation,gold_reason
conv_amzn_00012,AmazonHelp,conv_amzn_00012,"@AmazonHelp I was just charged $72.50 for Amazon Prime annual renewal today, but I forgot to cancel. Can I get a refund if I haven't used it?",Customer reaching out to @AmazonHelp regarding prime membership and billing.,"Yes! If you haven't used any Prime benefits since the renewal charge, you will automatically receive a full refund when you cancel at: https://amzn.to/manage-prime ^SJ",prime_membership_and_billing,AUTO_HANDLE,Prorated/unused Prime auto-refund policy self-service guidance.
conv_amzn_00013,AmazonHelp,conv_amzn_00013,@AmazonHelp I don't have a working printer at home. Can I return my Instant Pot Duo without printing a return label?,Customer reaching out to @AmazonHelp regarding return and refund status.,Yes! You can choose 'UPS Drop-off - No Box or Label Needed' or 'Kohl's Drop-off' when initiating the return in Your Orders. They will simply scan a QR code from your phone: https://amzn.to/return-center ^DL,return_and_refund_status,AUTO_HANDLE,Self-service instructions for mobile QR code label-free returns.
conv_amzn_00014,AmazonHelp,conv_amzn_00014,@AmazonHelp Prime Video keeps giving error code PL-01 when playing movies on my Fire TV 4K. How do I fix this?,Customer reaching out to @AmazonHelp regarding digital services and devices.,"Error PL-01 is typically resolved by restarting your device and router, or clearing the Prime Video app cache. You can find detailed troubleshooting steps here: https://amzn.to/prime-video-help ^AB",digital_services_and_devices,AUTO_HANDLE,Standard streaming cache/reboot troubleshooting steps.
conv_amzn_00015,AmazonHelp,conv_amzn_00015,@AmazonHelp The return window for my Keurig Coffee Maker closed 3 days ago because I was hospitalized. Can an exception be made to return it?,Customer reaching out to @AmazonHelp regarding return and refund status.,"We hope you are recovering well. While the online return portal locks after the return window, please send us a DM with your order ID so a customer care supervisor can review your case for an exception: https://amzn.to/dm ^RG",return_and_refund_status,ESCALATE_TO_HUMAN,Policy exception request requiring human supervisor override.
conv_amzn_00016,AmazonHelp,conv_amzn_00016,@AmazonHelp My Kindle Fire TV 4K screen is completely frozen on the waking up screen. Holding down the power button for 40 seconds does not reboot it.,Customer reaching out to @AmazonHelp regarding digital services and devices.,"We're sorry to hear about your Kindle! Please connect it to a wall charger for at least 30 minutes, then attempt the 40-second power button hold again. If it remains frozen, DM us for warranty options: https://amzn.to/dm ^KL",digital_services_and_devices,AUTO_HANDLE,Standard Kindle battery recovery protocol; escalates only if hardware unresponsive.
conv_amzn_00017,AmazonHelp,conv_amzn_00017,@AmazonHelp It has been 36 hours since my package #112-2419508-8709331 was marked delivered. I checked with neighbors and my building management. It is not here.,Customer reaching out to @AmazonHelp regarding missing or stolen package.,"Thank you for thoroughly checking around your property. Since 36 hours have passed, please DM us your order ID so our team can file a missing package claim and issue a replacement or refund: https://amzn.to/dm ^DL",missing_or_stolen_package,ESCALATE_TO_HUMAN,Waiting window expired and parcel missing; requires human claims specialist.
conv_amzn_00018,AmazonHelp,conv_amzn_00018,@AmazonHelp Delivery photo shows a completely different apartment number (523) and a red doormat. I live in unit 110 and don't have a red mat!,Customer reaching out to @AmazonHelp regarding missing or stolen package.,"We apologize for the misdelivery! Please send us a direct message with your order number so we can review the courier photo, verify your unit, and process an immediate replacement: https://amzn.to/dm ^RG",missing_or_stolen_package,ESCALATE_TO_HUMAN,Photographic proof of misdelivery to wrong unit; requires replacement authorization.
conv_amzn_00019,AmazonHelp,conv_amzn_00019,"@AmazonHelp I was just charged $190.99 for Amazon Prime annual renewal today, but I forgot to cancel. Can I get a refund if I haven't used it?",Customer reaching out to @AmazonHelp regarding prime membership and billing.,"Yes! If you haven't used any Prime benefits since the renewal charge, you will automatically receive a full refund when you cancel at: https://amzn.to/manage-prime ^RG",prime_membership_and_billing,AUTO_HANDLE,Prorated/unused Prime auto-refund policy self-service guidance.
conv_amzn_00020,AmazonHelp,conv_amzn_00020,@AmazonHelp Does Amazon ship electronic goods to military APO/FPO addresses in Germany?,Customer reaching out to @AmazonHelp regarding general product or policy inquiry.,"Yes, Amazon ships many items to APO/FPO addresses via USPS! Certain hazardous or oversized items may have restrictions. Check full policy details: https://amzn.to/apo-fpo ^SJ",general_product_or_policy_inquiry,AUTO_HANDLE,Military address shipping policy inquiry; answered directly.
conv_amzn_00021,AmazonHelp,conv_amzn_00021,@AmazonHelp It has been 36 hours since my package #114-3094652-7777340 was marked delivered. I checked with neighbors and my building management. It is not here.,Customer reaching out to @AmazonHelp regarding missing or stolen package.,"Thank you for thoroughly checking around your property. Since 36 hours have passed, please DM us your order ID so our team can file a missing package claim and issue a replacement or refund: https://amzn.to/dm ^KL",missing_or_stolen_package,ESCALATE_TO_HUMAN,Waiting window expired and parcel missing; requires human claims specialist.
conv_amzn_00022,AmazonHelp,conv_amzn_00022,"@AmazonHelp The Amazon app sent a notification saying my Levi's Denim Jacket was delivered to my front porch 15 minutes ago, but the porch is empty!",Customer reaching out to @AmazonHelp regarding missing or stolen package.,"Carriers sometimes scan packages just prior to walking up to the door. Please allow until the end of the day, and check with household members or side porches: https://amzn.to/find-missing. If still not found tomorrow, reach back out! ^AB",missing_or_stolen_package,AUTO_HANDLE,Scan occurred within past hour; standard buffer and safe spot search recommended.
conv_amzn_00023,AmazonHelp,conv_amzn_00023,@AmazonHelp The promo code 'SAVEHOLIDAY' from your promotional email is giving an error saying 'Promotion has ended' even though the email said valid through Friday.,Customer reaching out to @AmazonHelp regarding prime membership and billing.,We'd like to check this promo code for you! Please send us a direct message with a screenshot of the email and the item in your cart: https://amzn.to/dm ^DL,prime_membership_and_billing,ESCALATE_TO_HUMAN,Promotional code dispute requiring customer care manual credit.
conv_amzn_00024,AmazonHelp,conv_amzn_00024,@AmazonHelp My Kindle Apple TV screen is completely frozen on the waking up screen. Holding down the power button for 40 seconds does not reboot it.,Customer reaching out to @AmazonHelp regarding digital services and devices.,"We're sorry to hear about your Kindle! Please connect it to a wall charger for at least 30 minutes, then attempt the 40-second power button hold again. If it remains frozen, DM us for warranty options: https://amzn.to/dm ^SJ",digital_services_and_devices,AUTO_HANDLE,Standard Kindle battery recovery protocol; escalates only if hardware unresponsive.
conv_amzn_00025,AmazonHelp,conv_amzn_00025,@AmazonHelp I ordered a Fitbit Charge 6 ($141.99) and you sent me a box of coffee mugs! Order #114-9401711-2861889. This is a totally different item!,Customer reaching out to @AmazonHelp regarding damaged or incorrect item.,We sincerely apologize for this warehouse mix-up! Please DM us your order number so our fulfillment escalation team can investigate the inventory error and dispatch the correct item immediately: https://amzn.to/dm ^TB,damaged_or_incorrect_item,ESCALATE_TO_HUMAN,Severe inventory mispick requiring warehouse audit and expedited replacement.
conv_amzn_00026,AmazonHelp,conv_amzn_00026,"@AmazonHelp My Kindle Paperwhite was promised for delivery by 9 PM today, but tracking shows it hasn't even left the facility. Order #111-2607883-3800365.",Customer reaching out to @AmazonHelp regarding delivery delay and tracking.,"We apologize for the delay! Carrier transit times can vary. You can view the most up-to-date tracking information here: https://amzn.to/track. If it doesn't arrive by tomorrow evening, please DM us with your order ID: https://amzn.to/dm ^DL",delivery_delay_and_tracking,AUTO_HANDLE,Standard transit buffer; directed customer to official live tracking.
conv_amzn_00027,AmazonHelp,conv_amzn_00027,@AmazonHelp My Ninja Air Fryer arrived today but the packaging was crushed and the item is cracked in half! Do I have to send back broken glass?,Customer reaching out to @AmazonHelp regarding damaged or incorrect item.,We're very sorry your item arrived damaged! You do not need to ship back broken glass. Please visit Your Orders and select 'Return or replace items' to request a free replacement: https://amzn.to/your-orders. DM us if you need help: https://amzn.to/dm ^SJ,damaged_or_incorrect_item,AUTO_HANDLE,Automated returns portal guidance for broken item replacement without hazardous return shipment.
conv_amzn_00028,AmazonHelp,conv_amzn_00028,@AmazonHelp Someone stole the package off my porch! I caught the porch pirate on my Ring doorbell camera. How do I get a replacement?,Customer reaching out to @AmazonHelp regarding missing or stolen package.,We're so sorry this happened. Please DM us your order number and police report number (if filed) so we can file an incident report and assist with a replacement: https://amzn.to/dm ^SJ,missing_or_stolen_package,ESCALATE_TO_HUMAN,Stolen package / criminal theft report requiring security claim handling.
conv_amzn_00029,AmazonHelp,conv_amzn_00029,@AmazonHelp It has been 36 hours since my package #111-4125036-6771096 was marked delivered. I checked with neighbors and my building management. It is not here.,Customer reaching out to @AmazonHelp regarding missing or stolen package.,"Thank you for thoroughly checking around your property. Since 36 hours have passed, please DM us your order ID so our team can file a missing package claim and issue a replacement or refund: https://amzn.to/dm ^RG",missing_or_stolen_package,ESCALATE_TO_HUMAN,Waiting window expired and parcel missing; requires human claims specialist.
conv_amzn_00030,AmazonHelp,conv_amzn_00030,@AmazonHelp My Fire TV Stick keeps restarting in a continuous boot loop showing only the logo. I bought it 2 months ago.,Customer reaching out to @AmazonHelp regarding digital services and devices.,"We're sorry your Fire TV Stick is stuck in a boot loop. Since standard power cycling did not work and the device is under warranty, please DM us your serial number so we can process a warranty replacement: https://amzn.to/dm ^JW",digital_services_and_devices,ESCALATE_TO_HUMAN,Persistent hardware bootloop within warranty period requiring RMA exchange.
conv_amzn_00031,AmazonHelp,conv_amzn_00031,@AmazonHelp The promo code 'SAVE50' from your promotional email is giving an error saying 'Promotion has ended' even though the email said valid through Friday.,Customer reaching out to @AmazonHelp regarding prime membership and billing.,We'd like to check this promo code for you! Please send us a direct message with a screenshot of the email and the item in your cart: https://amzn.to/dm ^MK,prime_membership_and_billing,ESCALATE_TO_HUMAN,Promotional code dispute requiring customer care manual credit.
conv_amzn_00032,AmazonHelp,conv_amzn_00032,@AmazonHelp Delivery photo shows a completely different apartment number (342) and a red doormat. I live in unit 110 and don't have a red mat!,Customer reaching out to @AmazonHelp regarding missing or stolen package.,"We apologize for the misdelivery! Please send us a direct message with your order number so we can review the courier photo, verify your unit, and process an immediate replacement: https://amzn.to/dm ^SJ",missing_or_stolen_package,ESCALATE_TO_HUMAN,Photographic proof of misdelivery to wrong unit; requires replacement authorization.
conv_amzn_00033,AmazonHelp,conv_amzn_00033,@AmazonHelp I dropped off my return of Fitbit Charge 6 at Kohl's Drop-off on Tuesday. When should I expect the refund to appear on my credit card?,Customer reaching out to @AmazonHelp regarding return and refund status.,"Once the return is received, refunds typically take 3 to 5 business days to process back to your original payment method. You can track refund progress under Your Orders: https://amzn.to/refund-status ^MK",return_and_refund_status,AUTO_HANDLE,Standard banking processing timeline explanation.
conv_amzn_00034,AmazonHelp,conv_amzn_00034,"@AmazonHelp The Apple AirPods Pro I received has a ripped retail seal and looks like it was already used by someone else, but I paid for brand new!",Customer reaching out to @AmazonHelp regarding damaged or incorrect item.,"We apologize for this experience. We take new item guarantees seriously. Please go to Your Orders to request an exchange for an unopened replacement, or DM us if you need assistance: https://amzn.to/your-orders ^MK",damaged_or_incorrect_item,AUTO_HANDLE,Used-sold-as-new complaint; customer guided to instant exchange flow.
conv_amzn_00035,AmazonHelp,conv_amzn_00035,@AmazonHelp What is the difference between Amazon Renewed and Amazon Renewed Premium warranties?,Customer reaching out to @AmazonHelp regarding general product or policy inquiry.,"Amazon Renewed products come with a 90-day satisfaction guarantee, while Amazon Renewed Premium products feature a 1-year guarantee and battery health tested to at least 90%: https://amzn.to/renewed ^TB",general_product_or_policy_inquiry,AUTO_HANDLE,Public warranty policy comparison; clear factual answer.
conv_amzn_00036,AmazonHelp,conv_amzn_00036,@AmazonHelp Prime Video keeps giving error code 7031 when playing movies on my Apple TV. How do I fix this?,Customer reaching out to @AmazonHelp regarding digital services and devices.,"Error 7031 is typically resolved by restarting your device and router, or clearing the Prime Video app cache. You can find detailed troubleshooting steps here: https://amzn.to/prime-video-help ^RG",digital_services_and_devices,AUTO_HANDLE,Standard streaming cache/reboot troubleshooting steps.
conv_amzn_00037,AmazonHelp,conv_amzn_00037,@AmazonHelp My LEGO Star Wars Set arrived today but the packaging was crushed and the item is cracked in half! Do I have to send back broken glass?,Customer reaching out to @AmazonHelp regarding damaged or incorrect item.,We're very sorry your item arrived damaged! You do not need to ship back broken glass. Please visit Your Orders and select 'Return or replace items' to request a free replacement: https://amzn.to/your-orders. DM us if you need help: https://amzn.to/dm ^SJ,damaged_or_incorrect_item,AUTO_HANDLE,Automated returns portal guidance for broken item replacement without hazardous return shipment.
conv_amzn_00038,AmazonHelp,conv_amzn_00038,@AmazonHelp Why was my credit card charged twice for my Prime monthly subscription on the same day? Two charges of $14.99!,Customer reaching out to @AmazonHelp regarding prime membership and billing.,We apologize for the double charge! Please send us a DM with your account email address so a billing representative can investigate the duplicate transaction and process a refund: https://amzn.to/dm ^KL,prime_membership_and_billing,ESCALATE_TO_HUMAN,Duplicate billing error requiring human billing specialist.
conv_amzn_00039,AmazonHelp,conv_amzn_00039,@AmazonHelp I ordered a LEGO Star Wars Set ($631.99) and you sent me a box of dog food! Order #114-4179476-6583592. This is a totally different item!,Customer reaching out to @AmazonHelp regarding damaged or incorrect item.,We sincerely apologize for this warehouse mix-up! Please DM us your order number so our fulfillment escalation team can investigate the inventory error and dispatch the correct item immediately: https://amzn.to/dm ^SJ,damaged_or_incorrect_item,ESCALATE_TO_HUMAN,Severe inventory mispick requiring warehouse audit and expedited replacement.
conv_amzn_00040,AmazonHelp,conv_amzn_00040,@AmazonHelp Purchased an eBook on Amazon but it's not showing up on my Kindle app library on my iPad.,Customer reaching out to @AmazonHelp regarding digital services and devices.,"Please verify that your iPad Kindle app is registered to the exact same Amazon account used to make the purchase, and tap 'Sync' inside the app menu: https://amzn.to/kindle-sync ^AB",digital_services_and_devices,AUTO_HANDLE,Digital library synchronization troubleshooting steps.
conv_amzn_00041,AmazonHelp,conv_amzn_00041,@AmazonHelp My Kindle Paperwhite arrived today but the packaging was crushed and the item is cracked in half! Do I have to send back broken glass?,Customer reaching out to @AmazonHelp regarding damaged or incorrect item.,We're very sorry your item arrived damaged! You do not need to ship back broken glass. Please visit Your Orders and select 'Return or replace items' to request a free replacement: https://amzn.to/your-orders. DM us if you need help: https://amzn.to/dm ^MK,damaged_or_incorrect_item,AUTO_HANDLE,Automated returns portal guidance for broken item replacement without hazardous return shipment.
conv_amzn_00042,AmazonHelp,conv_amzn_00042,@AmazonHelp I'm not receiving the 2-Step Verification SMS code on my mobile phone to log in. I tried 3 times.,Customer reaching out to @AmazonHelp regarding account access and security.,"Mobile carrier networks can occasionally delay SMS codes. On the sign-in screen, click 'Didn't receive the code?' to request a voice call or backup code: https://amzn.to/2sv-help ^SJ",account_access_and_security,AUTO_HANDLE,Standard 2FA fallback options guidance.
conv_amzn_00043,AmazonHelp,conv_amzn_00043,"@AmazonHelp The LEGO Star Wars Set I received has a ripped retail seal and looks like it was already used by someone else, but I paid for brand new!",Customer reaching out to @AmazonHelp regarding damaged or incorrect item.,"We apologize for this experience. We take new item guarantees seriously. Please go to Your Orders to request an exchange for an unopened replacement, or DM us if you need assistance: https://amzn.to/your-orders ^MK",damaged_or_incorrect_item,AUTO_HANDLE,Used-sold-as-new complaint; customer guided to instant exchange flow.
conv_amzn_00044,AmazonHelp,conv_amzn_00044,"@AmazonHelp Tracking says 'Out for Delivery' since Tuesday, but there have been no new updates for 4 days. Is my order #114-7387969-4356708 lost?",Customer reaching out to @AmazonHelp regarding delivery delay and tracking.,We understand your concern regarding the lack of tracking movement. Please send us a direct message with your order number and email address so we can initiate an investigation with the carrier: https://amzn.to/dm ^AB,delivery_delay_and_tracking,ESCALATE_TO_HUMAN,Carrier stall exceeding 48h SLA; requires human carrier tracing.
conv_amzn_00045,AmazonHelp,conv_amzn_00045,@AmazonHelp I don't have a working printer at home. Can I return my Ceramic Dinnerware Set without printing a return label?,Customer reaching out to @AmazonHelp regarding return and refund status.,Yes! You can choose 'UPS Drop-off - No Box or Label Needed' or 'Kohl's Drop-off' when initiating the return in Your Orders. They will simply scan a QR code from your phone: https://amzn.to/return-center ^AB,return_and_refund_status,AUTO_HANDLE,Self-service instructions for mobile QR code label-free returns.
conv_amzn_00046,AmazonHelp,conv_amzn_00046,@AmazonHelp I don't have a working printer at home. Can I return my Sony Wireless Headphones without printing a return label?,Customer reaching out to @AmazonHelp regarding return and refund status.,Yes! You can choose 'UPS Drop-off - No Box or Label Needed' or 'Kohl's Drop-off' when initiating the return in Your Orders. They will simply scan a QR code from your phone: https://amzn.to/return-center ^TB,return_and_refund_status,AUTO_HANDLE,Self-service instructions for mobile QR code label-free returns.
conv_amzn_00047,AmazonHelp,conv_amzn_00047,@AmazonHelp It has been 36 hours since my package #114-4605451-2309259 was marked delivered. I checked with neighbors and my building management. It is not here.,Customer reaching out to @AmazonHelp regarding missing or stolen package.,"Thank you for thoroughly checking around your property. Since 36 hours have passed, please DM us your order ID so our team can file a missing package claim and issue a replacement or refund: https://amzn.to/dm ^DL",missing_or_stolen_package,ESCALATE_TO_HUMAN,Waiting window expired and parcel missing; requires human claims specialist.
conv_amzn_00048,AmazonHelp,conv_amzn_00048,@AmazonHelp Does Amazon ship electronic goods to military APO/FPO addresses in Italy?,Customer reaching out to @AmazonHelp regarding general product or policy inquiry.,"Yes, Amazon ships many items to APO/FPO addresses via USPS! Certain hazardous or oversized items may have restrictions. Check full policy details: https://amzn.to/apo-fpo ^AB",general_product_or_policy_inquiry,AUTO_HANDLE,Military address shipping policy inquiry; answered directly.
conv_amzn_00049,AmazonHelp,conv_amzn_00049,"@AmazonHelp I was just charged $243.00 for Amazon Prime annual renewal today, but I forgot to cancel. Can I get a refund if I haven't used it?",Customer reaching out to @AmazonHelp regarding prime membership and billing.,"Yes! If you haven't used any Prime benefits since the renewal charge, you will automatically receive a full refund when you cancel at: https://amzn.to/manage-prime ^KL",prime_membership_and_billing,AUTO_HANDLE,Prorated/unused Prime auto-refund policy self-service guidance.
conv_amzn_00050,AmazonHelp,conv_amzn_00050,"@AmazonHelp My Ceramic Dinnerware Set was promised for delivery by 2 PM today, but tracking shows it hasn't even left the facility. Order #112-8135007-9095346.",Customer reaching out to @AmazonHelp regarding delivery delay and tracking.,"We apologize for the delay! Carrier transit times can vary. You can view the most up-to-date tracking information here: https://amzn.to/track. If it doesn't arrive by tomorrow evening, please DM us with your order ID: https://amzn.to/dm ^MK",delivery_delay_and_tracking,AUTO_HANDLE,Standard transit buffer; directed customer to official live tracking.
conv_amzn_00051,AmazonHelp,conv_amzn_00051,@AmazonHelp It has been 36 hours since my package #112-2425248-7460775 was marked delivered. I checked with neighbors and my building management. It is not here.,Customer reaching out to @AmazonHelp regarding missing or stolen package.,"Thank you for thoroughly checking around your property. Since 36 hours have passed, please DM us your order ID so our team can file a missing package claim and issue a replacement or refund: https://amzn.to/dm ^SJ",missing_or_stolen_package,ESCALATE_TO_HUMAN,Waiting window expired and parcel missing; requires human claims specialist.
conv_amzn_00052,AmazonHelp,conv_amzn_00052,@AmazonHelp The promo code 'SAVEFALL' from your promotional email is giving an error saying 'Promotion has ended' even though the email said valid through Friday.,Customer reaching out to @AmazonHelp regarding prime membership and billing.,We'd like to check this promo code for you! Please send us a direct message with a screenshot of the email and the item in your cart: https://amzn.to/dm ^AB,prime_membership_and_billing,ESCALATE_TO_HUMAN,Promotional code dispute requiring customer care manual credit.
conv_amzn_00053,AmazonHelp,conv_amzn_00053,@AmazonHelp The return window for my LEGO Star Wars Set closed 3 days ago because I was hospitalized. Can an exception be made to return it?,Customer reaching out to @AmazonHelp regarding return and refund status.,"We hope you are recovering well. While the online return portal locks after the return window, please send us a DM with your order ID so a customer care supervisor can review your case for an exception: https://amzn.to/dm ^SJ",return_and_refund_status,ESCALATE_TO_HUMAN,Policy exception request requiring human supervisor override.
conv_amzn_00054,AmazonHelp,conv_amzn_00054,@AmazonHelp Does Amazon Logistics deliver on Sundays in Miami? My tracking says arriving Sunday by 9pm.,Customer reaching out to @AmazonHelp regarding delivery delay and tracking.,"Yes! Amazon Logistics delivers 7 days a week, including Sundays in most metropolitan areas. You can follow the driver's stop countdown in the Amazon app once out for delivery: https://amzn.to/your-orders ^RG",delivery_delay_and_tracking,AUTO_HANDLE,General Sunday delivery policy inquiry; answered directly.
conv_amzn_00055,AmazonHelp,conv_amzn_00055,@AmazonHelp I dropped off my return of Anker Portable Charger at The UPS Store on Tuesday. When should I expect the refund to appear on my credit card?,Customer reaching out to @AmazonHelp regarding return and refund status.,"Once the return is received, refunds typically take 3 to 5 business days to process back to your original payment method. You can track refund progress under Your Orders: https://amzn.to/refund-status ^TB",return_and_refund_status,AUTO_HANDLE,Standard banking processing timeline explanation.
conv_amzn_00056,AmazonHelp,conv_amzn_00056,@AmazonHelp It has been 36 hours since my package #113-4304020-2902177 was marked delivered. I checked with neighbors and my building management. It is not here.,Customer reaching out to @AmazonHelp regarding missing or stolen package.,"Thank you for thoroughly checking around your property. Since 36 hours have passed, please DM us your order ID so our team can file a missing package claim and issue a replacement or refund: https://amzn.to/dm ^MK",missing_or_stolen_package,ESCALATE_TO_HUMAN,Waiting window expired and parcel missing; requires human claims specialist.
conv_amzn_00057,AmazonHelp,conv_amzn_00057,@AmazonHelp Does Amazon Logistics deliver on Sundays in Denver? My tracking says arriving Sunday by 9pm.,Customer reaching out to @AmazonHelp regarding delivery delay and tracking.,"Yes! Amazon Logistics delivers 7 days a week, including Sundays in most metropolitan areas. You can follow the driver's stop countdown in the Amazon app once out for delivery: https://amzn.to/your-orders ^SJ",delivery_delay_and_tracking,AUTO_HANDLE,General Sunday delivery policy inquiry; answered directly.
conv_amzn_00058,AmazonHelp,conv_amzn_00058,"@AmazonHelp Tracking says 'In Transit' since Wednesday, but there have been no new updates for 4 days. Is my order #111-4659979-7673162 lost?",Customer reaching out to @AmazonHelp regarding delivery delay and tracking.,We understand your concern regarding the lack of tracking movement. Please send us a direct message with your order number and email address so we can initiate an investigation with the carrier: https://amzn.to/dm ^KL,delivery_delay_and_tracking,ESCALATE_TO_HUMAN,Carrier stall exceeding 48h SLA; requires human carrier tracing.
conv_amzn_00059,AmazonHelp,conv_amzn_00059,@AmazonHelp Prime Video keeps giving error code 9074 when playing movies on my Fire TV 4K. How do I fix this?,Customer reaching out to @AmazonHelp regarding digital services and devices.,"Error 9074 is typically resolved by restarting your device and router, or clearing the Prime Video app cache. You can find detailed troubleshooting steps here: https://amzn.to/prime-video-help ^SJ",digital_services_and_devices,AUTO_HANDLE,Standard streaming cache/reboot troubleshooting steps.
